1870,1162
1768,1163
1696,1164
1612,1165
1573,1166
1558,1166
1521,1167
1479,1168
1435,1169
1390,1170
1333,1171
1277,1172
1214,1173
1187,1173
1119,1174
1039,1175
968,1176
932,1176
917,1171
911,1165
907,1158
906,1153
905,1147
905,1141
904,1136
903,1133
897,1134
892,1136
885,1139
869,1145
861,1148
853,1151
848,1153
834,1158
815,1164
794,1170
782,1173
762,1177
725,1182
712,1183
695,1184
639,1184
603,1183
567,1181
536,1178
498,1171
487,1167
466,1158
451,1150
418,1130
404,1120
378,1100
362,1085
342,1062
326,1040
317,1025
301,994
293,975
284,950
273,914
269,899
264,879
256,844
248,806
241,769
236,741
233,724
227,689
221,654
216,626
213,609
210,592
206,568
202,544
198,518
196,504
194,496
192,492
188,489
182,487
172,485
163,482
159,480
149,470
145,462
141,451
135,435
131,425
127,415
115,387
96,345
70,292
49,251
32,212
24,189
20,170
19,157
20,139
22,128
24,121
28,113
33,106
38,100
45,93
52,87
61,80
71,74
84,69
104,65
129,60
150,56
164,53
190,48
205,45
236,39
252,36
268,33
296,28
319,24
331,22
339,21
346,22
353,24
358,27
362,30
366,33
368,35
371,38
376,43
383,52
390,61
402,78
411,91
418,101
430,118
450,147
461,163
470,176
480,190
494,210
506,227
511,234
518,244
534,266
542,277
551,289
572,317
580,327
591,341
609,362
621,375
637,392
646,402
657,413
672,428
686,441
699,453
719,472
728,481
738,490
753,503
771,520
781,529
797,543
821,565
833,576
848,589
859,600
879,618
901,639
920,656
942,677
957,690
975,707
986,717
1006,735
1015,743
1037,763
1046,771
1061,785
1078,800
1090,810
1096,814
1103,815
1113,815
1121,814
1137,811
1147,809
1159,807
1173,806
1183,806
1193,807
1204,810
1217,815
1226,819
1233,823
1240,828
1249,835
1254,841
1261,848
1266,852
1273,857
1279,859
1288,861
1297,862
1310,863
1327,864
1363,864
1389,864
1440,864
1487,864
1523,864
1555,863
1622,863
1672,863
1723,863
1794,863
1864,863
1894,863
1934,863
1999,863
2049,863
2098,864
2153,864
2182,864
2241,865
2269,865
2279,866
2290,868
2298,870
2304,872
2311,875
2317,878
2324,883
2339,895
2345,903
2350,912
2354,921
2358,934
2361,949
2362,958
2363,964
2363,972
2362,982
2359,998
2353,1016
2349,1024
2342,1035
2333,1047
2326,1054
2315,1065
2303,1076
2292,1085
2281,1093
2267,1102
2255,1109
2242,1115
2231,1119
2214,1125
2203,1128
2196,1130
2183,1133
2173,1135
2142,1140
2126,1142
2087,1146
2068,1148
2019,1153
1996,1155
1948,1158
1926,1159
1910,1160
1901,1161
